archivo,sección,tema,pregunta,subpregunta,juicio,evidencia procedente de la investigación,consideraciones adicionales
ansiedad.txt,5.2,"En adultos con TAG, ¿cuál es la efectividad y seguridad comparada de la terapia de relajación?",b) ¿Cuál es la magnitud de los efectos indeseables esperados?,,Insignificante.,No se han podido identificar estudios que informen efectos adversos.,"Aunque la terapia de relajación, como cualquier otra terapia psicológica, puede no estar exenta de efectos adversos, se consideran muy improbables."
ansiedad.txt,5.2,"En adultos con TAG, ¿cuál es la efectividad y seguridad comparada de la terapia de relajación?",c) ¿Cuál es la certeza global en la evidencia sobre los efectos?,,Muy baja.,"La calidad global de la evidencia fue considerada muy baja. Esto es consecuencia de las limitaciones metodológicas inherentes al diseño de los estudios. Existen limitaciones relacionadas con el riesgo de sesgo de realización ya que en los estudios es inherente la imposibilidad de llevar a cabo el cegamiento de los pacientes y del personal. Por desenlace, la calidad de la evidencia fue considerada baja para ansiedad (evaluación clínica y autoinformada), preocupación y depresión postintervención; y muy baja para el desenlace remisión.",
ansiedad.txt,5.2,"En adultos con TAG, ¿cuál es la efectividad y seguridad comparada de la terapia de relajación?",d) ¿Existe incertidumbre o variabilidad importante sobre cómo,,La incertidumbre o variabilidad no son importantes.,No se han podido identificar estudios que informen del valor que las personas con TAG otorgan a los diferentes desenlaces.,El GAG considera poco probable que exista variabilidad en cuanto a cómo los pacientes valoran los desenlaces principales.
ansiedad.txt,5.2,"En adultos con TAG, ¿cuál es la efectividad y seguridad comparada de la terapia de relajación?",f) ¿Cuál es la magnitud de los recursos requeridos (costes)?,,Costes moderados.,No se identificaron estudios que respondieran a la pregunta. GPC PARA EL TRATAMIENTO DEL TRASTORNO DE ANSIEDAD GENERALIZADA EN ATENCIÓN PRIMARIA 55,"El coste de una terapia de relajación sería parecido al coste de una TCC tradicional. En el País Vasco, tanto la psicoterapia de grupo como la individual tiene el coste unitario de 124 € (108). Por tanto, una TCC-i de 8-12 sesiones tendría un coste de entre 992 € y 1488 € por paciente. El resto de CCAA no proporciona el coste de psicoterapia individual y grupal."
ansiedad.txt,5.2,"En adultos con TAG, ¿cuál es la efectividad y seguridad comparada de la terapia de relajación?",g) ¿Cuál es la certeza en torno a la evidencia sobre los recursos,,No hay estudios incluidos.,No se identificaron estudios que respondieran a la pregunta.,
ansiedad.txt,5.2,"En adultos con TAG, ¿cuál es la efectividad y seguridad comparada de la terapia de relajación?","h) El coste-efectividad de la intervención, ¿favorece a la",,Desconocido.,No se identificaron estudios que respondieran a la pregunta.,
ansiedad.txt,5.2,"En adultos con TAG, ¿cuál es la efectividad y seguridad comparada de la terapia de relajación?",i) ¿Cuál sería el impacto en la equidad en salud?,,Probablemente reducido.,No se identificaron estudios que respondieran a la pregunta.,"En España, la derivación a los servicios de psiquiatría, psicología, trabajo social y otros es muy variable según los casos. Esta inequidad en el acceso no parece basarse en criterios clínicos, sino posiblemente en diferencias territoriales de acceso a los distintos servicios. Existen algunos proyectos pilotos para implementar la presencia del profesional de psicología clínica en AP (Canarias, Cataluña, Madrid o Asturias). Entre los criterios de derivación a las consultas de psicología clínica de AP, se encuentra el diagnóstico de TAG. Sin embargo, su implantación no es homogénea en todo el SNS."
ansiedad.txt,5.2,"En adultos con TAG, ¿cuál es la efectividad y seguridad comparada de la terapia de relajación?",j) ¿Es aceptable la opción para los agentes implicados?,,Probablemente sí.,"No se han identificado estudios que evalúen la aceptabilidad de las terapias de relajación. El porcentaje de abandonos en los ECA considerados fue del 23,8% en el grupo de relajación, frente al 16,2% en los grupos de control, lo que constituye una diferencia no significativa. GUÍAS DE PRÁCTICA CLÍNICA EN EL SNS 56","El GAG considera que las personas con TAG pueden tener dificultad para adherirse a la terapia de relajación, ya que puede ser muy frustrante para ellos, por lo que sería interesante diseñar protocolos específicos destinados a la adaptación a esta terapia donde se considere la voluntad y capacidad de la persona para participar, preferencias, experiencias pasadas y contraindicaciones antes de seleccionar una estrategia de relajación determinada; y se explore si alguna intervención de relajación ha resultado útil en el pasado. Por su parte, el estudio cualitativo realizado por el GAG identificó los siguientes factores que podrían favorecer la aceptabilidad de los tratamientos no farmacológicos: − La accesibilidad de los profesionales en periodos de crisis de ansiedad (aumentando el número de sesiones o acceso telefónico en momentos agudos). − El recibir sesiones periódicas semanales durante una primera etapa hasta que se consigan manejar los síntomas más importantes. − La dotación de información y herramientas adaptadas a las particularidades del TAG y a las experiencias personales concretas. − La existencia de un seguimiento a largo plazo: oportunidad de retomar la relación terapéutica ante recaídas o crisis de ansiedad."
ansiedad.txt,5.3,"En adultos con TAG, ¿cuál es la efectividad y seguridad comparada de la terapia metacognitiva?",k) ¿Es factible la implementación de la opción?,,Probablemente sí.,No se identificaron estudios que respondieran a la pregunta.,"El GAG considera que la implementación de la terapia de relajación en AP requiere de la disponibilidad de profesionales capacitados y con experiencia en esta modalidad de tratamiento, así como del espacio físico adecuado para su aplicación. La terapia de relajación es una intervención que puede desarrollar el personal de enfermería familiar y comunitaria dentro de su ámbito competencial. No obstante, la presencia del profesional de psicología clínica en AP, actualmente como proyecto piloto en algunas CCAA, ayudaría a que la recomendación se implementase sin dificultades. GPC PARA EL TRATAMIENTO DEL TRASTORNO DE ANSIEDAD GENERALIZADA EN ATENCIÓN PRIMARIA 57 En esta pregunta clínica se analiza la evidencia científica y se aportan recomendaciones sobre el uso de la terapia metacognitiva en pacientes con TAG. La terapia metacognitiva es un enfoque psicoterapéutico, que dirige sus objetivos hacia los mecanismos metacognitivos, es decir, a los mecanismos implicados en la toma de conciencia, interpretación y regulación de los procesos mentales. En este modelo se sostiene que la preocupación repetitiva e incontrolable del TAG está vinculada a “creencias metacognitivas” de la persona sobre la preocupación. Fundamentalmente con esta técnica se trabajan dos tipos de creencias: las positivas y las negativas. Por ejemplo, cuando la persona piensa: “preocuparme me ayuda a afrontar las situaciones” (creencias metacognitivas positivas) al mismo tiempo, se disparan pensamientos como “y si pierdo el control, y si todo empeora en el trabajo”. Tras ello, la persona piensa “no puedo controlar mi preocupación” o “me estoy volviendo loco” (creencias metacognitivas negativas) activando finalmente las metapreocupaciones: por ejemplo, “me preocupo por preocuparme tanto, me preocupa mi falta de control”. El trabajo conjunto con el profesional sanitario, se centra en identificar y cuestionar las creencias sobre las preocupaciones (metacreencias) que tiene el paciente con TAG. El número de sesiones varía en función de las características del paciente y del terapeuta. (118). La secuencia habitualmente seguida incluye la formulación individualizada del caso. Tras ello se educa en el modelo al paciente, compartiendo ambos el entendimiento del problema y el enfoque del tratamiento. Posteriormente, se cuestionan las creencias metacognitivas mediante restructuración verbal y experimentos conductuales. Finalmente, se refuerzan nuevos planes para procesar la preocupación y se trabaja la prevención de recaídas. Recomendaciones 1. En pacientes con TAG, se sugiere utilizar la terapia metacognitiva como segunda línea de tratamiento psicológico. [Débil a favor] GUÍAS DE PRÁCTICA CLÍNICA EN EL SNS 58 Justificación Se ha formulado una recomendación débil a favor del uso de la terapia metacognitiva en pacientes con TAG en caso de que no se obtenga respuesta con la TCC o con la terapia de relajación. El grupo de trabajo ha considerado la magnitud de los efectos beneficiosos esperados, el balance beneficio-riesgo y la viabilidad de la aplicación de la terapia. Justificación detallada Magnitud de los efectos esperados: la evidencia señala que la terapia metacognitiva tiene efectos entre moderados y grandes sobre las tasas de respuesta y remisión, y los niveles de ansiedad, calidad de vida y el manejo de las preocupaciones. Balance beneficio-riesgo: la evidencia científica señala beneficios claros de la terapia metacognitiva en el tratamiento del TAG y la posibilidad de aparición de eventos adversos asociados a esta terapia se considera insignificante, por lo tanto, el GAG ha considerado que el balance beneficio-riesgo es globalmente favorable a la terapia metacognitiva. No obstante, a pesar de este balance beneficio-riesgo positivo, esta terapia dispone de menor evidencia que la TCC o la terapia de relajación. Factibilidad: la terapia metacognitiva no tiene tanta experiencia de uso entre los profesionales como la TCC y la terapia de relajación, lo que conlleva a que esta terapia podría no ser factible de manera general. Por todo lo anterior, el GAG ha considerado dejar la terapia metacognitiva como alternativa de tratamiento psicológico de segunda línea para el TAG. En todo caso, la decisión tendrá que ser valorada individual y personalizadamente para determinar cuál es la opción más adecuada para cada paciente y su situación específica. De la evidencia a la recomendación"
ansiedad.txt,5.3,"En adultos con TAG, ¿cuál es la efectividad y seguridad comparada de la terapia metacognitiva?",a) ¿Cuál es la magnitud de los efectos deseables esperados?,,Moderada.,"Se consideraron 2 ECA (n= 127) (97,98) que comparan la aplicación de la terapia metacognitiva con lista de espera. Los resultados muestran que el tratamiento con terapia metacognitiva frente al control (lista de espera) en adultos con TAG: − Aumenta la probabilidad de respuesta (447 pacientes más por cada 1000). − Aumenta la probabilidad de remisión (612 pacientes más por cada 1000). GPC PARA EL TRATAMIENTO DEL TRASTORNO DE ANSIEDAD GENERALIZADA EN ATENCIÓN PRIMARIA 59 − Reduce los niveles de ansiedad (efecto grande), sin embargo, no supera el umbral de decisión clínica. − Reduce los niveles de preocupación (efecto grande). − No modifica los niveles de depresión. − Aumenta los niveles de CVRS (efecto grande). Para más información se pueden consultar los perfiles de evidencia GRADE disponibles en el material metodológico.",
ansiedad.txt,5.3,"En adultos con TAG, ¿cuál es la efectividad y seguridad comparada de la terapia metacognitiva?",b) ¿Cuál es la magnitud de los efectos indeseables esperados?,,Insignificante.,No se han podido identificar estudios que informen efectos adversos.,"Aunque la terapia metacognitiva, como cualquier otra terapia psicológica, puede no estar exenta de efectos adversos, se consideran muy improbables."
ansiedad.txt,5.3,"En adultos con TAG, ¿cuál es la efectividad y seguridad comparada de la terapia metacognitiva?",c) ¿Cuál es la certeza global en la evidencia sobre los efectos?,,Moderada.,"La calidad global de la evidencia fue considerada moderada. Esto es consecuencia de las limitaciones metodológicas inherentes al diseño de los estudios. Existen limitaciones relacionadas con el riesgo de sesgo de realización ya que en los estudios es inherente la imposibilidad de llevar a cabo el cegamiento de los pacientes y del personal. Por desenlace, la calidad de la evidencia fue considerada; moderada para el desenlace remisión, respuesta, baja para los desenlaces preocupación, depresión y CVRS; y muy baja para el desenlace ansiedad (autoinformada).",El GAG considera que la confianza en la evidencia global no debe ser considerada muy baja debido a la certeza en la variable ansiedad dado que ansiedad y remisión no son variables independientes.
ansiedad.txt,5.3,"En adultos con TAG, ¿cuál es la efectividad y seguridad comparada de la terapia metacognitiva?",d) ¿Existe incertidumbre o variabilidad importante sobre cómo,,La incertidumbre o variabilidad no son importantes.,No se han podido identificar estudios que informen del valor que las personas con TAG otorgan a los diferentes desenlaces.,El GAG considera poco probable que exista variabilidad en cuanto a cómo los pacientes valoran los desenlaces principales. GUÍAS DE PRÁCTICA CLÍNICA EN EL SNS 60
ansiedad.txt,5.3,"En adultos con TAG, ¿cuál es la efectividad y seguridad comparada de la terapia metacognitiva?",f) ¿Cuál es la magnitud de los recursos requeridos (costes)?,,Costes moderados.,No se identificaron estudios que respondieran a la pregunta.,"El coste de una terapia metacognitiva sería parecido al coste de una TCC tradicional. En el País Vasco, tanto la psicoterapia de grupo como la individual tienen el coste unitario de 124 € (108). Por tanto, una TCC-i de 8-12 sesiones tendría un coste de entre 992 € y 1488 € por paciente. El resto de CCAA no proporciona el coste de psicoterapia individual y grupal."
ansiedad.txt,5.3,"En adultos con TAG, ¿cuál es la efectividad y seguridad comparada de la terapia metacognitiva?",g) ¿Cuál es la certeza en torno a la evidencia sobre los recursos,,No hay estudios incluidos.,No se identificaron estudios que respondieran a la pregunta.,
ansiedad.txt,5.3,"En adultos con TAG, ¿cuál es la efectividad y seguridad comparada de la terapia metacognitiva?","h) El coste-efectividad de la intervención, ¿favorece a la",,Desconocido.,No se identificaron evaluaciones económicas en las que se evalúe la terapia metacognitiva.,
ansiedad.txt,5.3,"En adultos con TAG, ¿cuál es la efectividad y seguridad comparada de la terapia metacognitiva?",i) ¿Cuál sería el impacto en la equidad en salud?,,Probablemente reducido.,No se identificaron estudios que respondieran a la pregunta.,"En España, según el estudio cualitativo realizado, la derivación a los servicios de psiquiatría, psicología, trabajo social y otros es muy variable según los casos. Esta inequidad en el acceso no parece basarse en criterios clínicos, sino posiblemente en diferencias territoriales de GPC PARA EL TRATAMIENTO DEL TRASTORNO DE ANSIEDAD GENERALIZADA EN ATENCIÓN PRIMARIA 61 acceso a los diferentes servicios. Se requiere más investigación sobre estas diferencias. Existen algunos proyectos piloto para implementar la presencia del profesional de psicología clínica en AP (Canarias, Cataluña, Madrid o Asturias). Entre los criterios de derivación a las consultas de psicología clínica de AP, se encuentra el diagnóstico de TAG. Sin embargo, su implantación no es homogénea en todo el SNS."
ansiedad.txt,5.3,"En adultos con TAG, ¿cuál es la efectividad y seguridad comparada de la terapia metacognitiva?",j) ¿Es aceptable la opción para los agentes implicados?,,Probablemente sí.,"No se han identificado estudios que evalúen específicamente la aceptabilidad de la terapia metacognitiva. El porcentaje de abandonos en los ECA considerados fue del 13,4% en el grupo de terapia metacognitiva, frente al 2,4% en el control, diferencia no significativa (97,98).","Según el estudio cualitativo realizado por el GAG, los siguientes factores favorecen la aceptabilidad de los tratamientos psicológicos por parte de los pacientes: − La accesibilidad de los profesionales en periodos de crisis de ansiedad (aumentando el número de sesiones o acceso telefónico en momentos agudos). − El recibir sesiones periódicas semanales durante una primera etapa hasta que se consigan manejar los síntomas más importantes. − La dotación de información y herramientas adaptadas a las particularidades del TAG y a las experiencias personales concretas. − La existencia de un seguimiento a largo plazo: oportunidad de retomar la relación terapéutica ante recaídas o crisis de ansiedad."
